symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2023-10-24 04:00:00+00:00,422.65,424.82,420.74,423.63,78564241.0,579424.0,423.051783
SPY,2023-10-25 04:00:00+00:00,421.89,421.92,417.015,417.55,94223200.0,753892.0,419.122763
SPY,2023-10-26 04:00:00+00:00,416.45,417.325,411.6,412.55,115156763.0,846343.0,414.172145
SPY,2023-10-27 04:00:00+00:00,414.19,414.6,409.21,410.68,107367673.0,800491.0,411.578844
SPY,2023-10-30 04:00:00+00:00,413.56,416.68,412.22,415.59,86562677.0,638015.0,414.333841
SPY,2023-10-31 04:00:00+00:00,416.18,418.53,414.21,418.2,79665152.0,563417.0,416.897896
SPY,2023-11-01 04:00:00+00:00,419.2,423.5,418.6499,422.66,98068117.0,724433.0,420.874607
SPY,2023-11-02 04:00:00+00:00,426.58,430.915,426.56,430.76,94938911.0,639385.0,428.811609
SPY,2023-11-03 04:00:00+00:00,433.14,436.29,433.01,434.69,100167777.0,647003.0,434.459887
SPY,2023-11-06 05:00:00+00:00,435.47,436.1498,433.68,435.69,67831662.0,494718.0,435.045292
SPY,2023-11-07 05:00:00+00:00,435.69,437.585,434.51,436.93,64256116.0,488374.0,436.530431
SPY,2023-11-08 05:00:00+00:00,437.55,438.09,434.87,437.25,61746029.0,461557.0,436.813985
SPY,2023-11-09 05:00:00+00:00,438.43,438.47,433.4,433.84,83174419.0,622940.0,435.62716
SPY,2023-11-10 05:00:00+00:00,435.98,440.93,433.8335,440.61,89558056.0,585764.0,437.989768
SPY,2023-11-13 05:00:00+00:00,439.23,441.33,438.42,440.19,52236070.0,406682.0,440.094647
SPY,2023-11-14 05:00:00+00:00,446.32,450.06,446.09,448.73,97176937.0,653304.0,447.870072
SPY,2023-11-15 05:00:00+00:00,450.11,451.38,448.8,449.68,77327573.0,555373.0,450.019504
SPY,2023-11-16 05:00:00+00:00,449.22,450.56,448.12,450.23,66665799.0,507746.0,449.474655
SPY,2023-11-17 05:00:00+00:00,450.24,451.42,449.29,450.79,83193904.0,439854.0,450.530449
SPY,2023-11-20 05:00:00+00:00,450.53,455.125,450.52,454.26,70055635.0,488764.0,453.288777
SPY,2023-11-21 05:00:00+00:00,453.1842,454.131,451.9599,453.27,49244640.0,405391.0,453.027437
SPY,2023-11-22 05:00:00+00:00,454.98,456.38,453.8895,455.02,59446575.0,479664.0,455.03358
SPY,2023-11-24 05:00:00+00:00,455.07,455.5,454.73,455.3,29737377.0,190770.0,455.0965
SPY,2023-11-27 05:00:00+00:00,454.65,455.4901,454.0799,454.48,50505987.0,400700.0,454.828885
SPY,2023-11-28 05:00:00+00:00,454.08,456.27,453.5,454.93,62115013.0,461132.0,454.72179
