symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-07-14 04:00:00+00:00,277.01,285.3,276.31,281.38,120091488.0,1267639.0,280.69684
TSLA,2023-07-17 04:00:00+00:00,286.625,292.23,283.57,290.38,131642475.0,1503496.0,288.112325
TSLA,2023-07-18 04:00:00+00:00,290.15,295.26,286.01,293.34,112465031.0,1261573.0,290.108658
TSLA,2023-07-19 04:00:00+00:00,296.04,299.29,289.5201,291.26,143260902.0,1800293.0,294.142214
TSLA,2023-07-20 04:00:00+00:00,279.56,280.93,261.2,262.9,175314537.0,2370073.0,269.758837
TSLA,2023-07-21 04:00:00+00:00,268.0,268.0,255.8,260.02,162417593.0,1641747.0,261.903007
TSLA,2023-07-24 04:00:00+00:00,255.85,269.85,254.12,269.06,137060400.0,1547085.0,264.10893
TSLA,2023-07-25 04:00:00+00:00,272.38,272.9,265.0,265.28,112797579.0,1254555.0,268.553401
TSLA,2023-07-26 04:00:00+00:00,263.25,268.04,261.75,264.35,95887686.0,983841.0,264.826928
TSLA,2023-07-27 04:00:00+00:00,268.31,269.13,255.3,255.71,103754401.0,1206919.0,262.879013
TSLA,2023-07-28 04:00:00+00:00,259.86,267.25,258.2312,266.44,111446027.0,1121339.0,264.289633
TSLA,2023-07-31 04:00:00+00:00,267.48,269.08,263.78,267.43,84605432.0,1000450.0,266.638036
TSLA,2023-08-01 04:00:00+00:00,266.26,266.47,260.25,261.07,83728932.0,989391.0,262.354893
TSLA,2023-08-02 04:00:00+00:00,255.57,259.52,250.49,254.11,101804109.0,1222360.0,254.716907
TSLA,2023-08-03 04:00:00+00:00,252.04,260.49,252.0,259.32,97852228.0,1030220.0,256.805373
TSLA,2023-08-04 04:00:00+00:00,260.97,264.77,253.11,253.86,99539908.0,1052952.0,258.207728
TSLA,2023-08-07 04:00:00+00:00,251.45,253.6511,242.76,251.45,111121391.0,1358005.0,247.898012
TSLA,2023-08-08 04:00:00+00:00,247.45,250.92,245.01,249.7,96661635.0,1030079.0,248.562756
TSLA,2023-08-09 04:00:00+00:00,250.87,251.1,241.9,242.19,101635663.0,1078830.0,245.203074
TSLA,2023-08-10 04:00:00+00:00,245.4,251.8,243.0,245.34,109519642.0,1138934.0,246.91791
TSLA,2023-08-11 04:00:00+00:00,241.77,243.79,238.02,242.65,99038644.0,1121628.0,241.49952
TSLA,2023-08-14 04:00:00+00:00,235.7,240.66,233.75,239.76,98618323.0,1396846.0,237.867208
TSLA,2023-08-15 04:00:00+00:00,238.73,240.5,232.61,232.96,88246178.0,1053546.0,235.160122
TSLA,2023-08-16 04:00:00+00:00,228.02,233.97,225.38,225.6,112548579.0,1296486.0,229.193357
TSLA,2023-08-17 04:00:00+00:00,226.06,226.74,218.83,219.22,120776489.0,1322338.0,222.847209
TSLA,2023-08-18 04:00:00+00:00,214.12,217.58,212.36,215.49,136276586.0,1455662.0,215.328796
TSLA,2023-08-21 04:00:00+00:00,221.5512,232.1343,220.58,231.28,135775026.0,1475613.0,227.565825
TSLA,2023-08-22 04:00:00+00:00,240.25,240.82,229.55,233.19,130622922.0,1382016.0,234.549412
TSLA,2023-08-23 04:00:00+00:00,229.34,238.98,229.29,236.86,101159557.0,1085857.0,235.07854
TSLA,2023-08-24 04:00:00+00:00,238.66,238.92,228.1801,230.04,99815698.0,1105418.0,231.974698
TSLA,2023-08-25 04:00:00+00:00,231.31,239.0,230.35,238.59,106612231.0,1174889.0,235.063764
TSLA,2023-08-28 04:00:00+00:00,242.58,244.38,235.35,238.82,107692662.0,1146637.0,238.59897
TSLA,2023-08-29 04:00:00+00:00,238.58,257.48,237.77,257.18,134104874.0,1418770.0,250.63451
TSLA,2023-08-30 04:00:00+00:00,254.2,260.51,250.59,256.9,122003655.0,1295488.0,255.874499
TSLA,2023-08-31 04:00:00+00:00,255.98,261.18,255.05,258.08,108876603.0,1067030.0,258.034691
TSLA,2023-09-01 04:00:00+00:00,257.26,259.0794,242.01,245.01,132541641.0,1530009.0,248.277271
TSLA,2023-09-05 04:00:00+00:00,245.0,258.0,244.86,256.49,129487693.0,1370470.0,253.70673
TSLA,2023-09-06 04:00:00+00:00,255.135,255.39,245.06,251.92,117006956.0,1211279.0,249.547539
